"index","y_pred"
1491,0.923333333333333
1492,0.423333333333333
1493,0.163333333333333
1494,0.126666666666667
1495,0.0166666666666667
1496,0.00666666666666667
1497,0.576666666666667
1498,0.0733333333333333
1499,0.08
1500,0.813333333333333
1501,0
1502,0.01
1503,0.0233333333333333
1504,0.0533333333333333
1505,0.07
1506,0.00333333333333333
1507,0.0166666666666667
1508,0.783333333333333
1509,0.12
1510,0.01
1511,0.133333333333333
1512,0.0366666666666667
1513,0.986666666666667
1514,0.72
1515,0.06
1516,0.0533333333333333
1517,0.976666666666667
1518,0.0866666666666667
1519,0
1520,0.0133333333333333
1521,0.966666666666667
1522,0
1523,0.0166666666666667
1524,0.133333333333333
1525,0.196666666666667
1526,0.383333333333333
1527,0.16
1528,0.22
1529,0.00333333333333333
1530,0.0566666666666667
1531,0.0166666666666667
1532,0.113333333333333
1533,0.593333333333333
1534,0.456666666666667
1535,0.14
1536,0.11
1537,0.0233333333333333
1538,0
1539,0.526666666666667
1540,0.113333333333333
1541,0
1542,0.02
1543,0.00333333333333333
1544,0.0466666666666667
1545,0.883333333333333
1546,0.226666666666667
1547,0.986666666666667
1548,0.17
1549,0.00333333333333333
1550,0.0333333333333333
1551,0.453333333333333
1552,0.22
1553,0.96
1554,0.0533333333333333
1555,0.946666666666667
1556,0.966666666666667
1557,0.26
1558,0.0166666666666667
1559,0.03
1560,0.00666666666666667
1561,0.0333333333333333
1562,0
1563,0.176666666666667
1564,0.133333333333333
1565,0.233333333333333
1566,0.966666666666667
1567,0.926666666666667
1568,0.226666666666667
1569,0.0533333333333333
1570,0.293333333333333
1571,0.993333333333333
1572,0.15
1573,0.343333333333333
1574,0.163333333333333
1575,0.113333333333333
1576,0
1577,0
1578,0.0133333333333333
1579,0.136666666666667
1580,0.0733333333333333
1581,0.526666666666667
1582,0.01
1583,0
1584,0.00333333333333333
1585,0.826666666666667
1586,0.98
1587,0.0233333333333333
1588,0.0866666666666667
1589,0.993333333333333
1590,0.43
1591,0.00333333333333333
1592,0.893333333333333
1593,0.0533333333333333
1594,0.956666666666667
1595,0.0766666666666667
1596,0
1597,0.0866666666666667
1598,0.256666666666667
1599,0.0133333333333333
1600,0
1601,0.01
1602,0.00666666666666667
1603,0.00666666666666667
1604,0.0533333333333333
1605,0.126666666666667
1606,0.04
1607,0.0466666666666667
1608,0.99
1609,0.0733333333333333
1610,0.176666666666667
1611,0.896666666666667
1612,0.96
1613,0.0466666666666667
1614,0.04
1615,0.156666666666667
1616,0.09
1617,0.06
1618,0
1619,0.126666666666667
1620,0.0133333333333333
1621,0.113333333333333
1622,0.406666666666667
1623,0.98
1624,0.423333333333333
1625,0.00333333333333333
1626,0.0233333333333333
1627,0.0233333333333333
1628,0.01
1629,0.173333333333333
1630,0.113333333333333
1631,0.103333333333333
1632,0.26
1633,0.206666666666667
1634,0.00333333333333333
1635,0.16
1636,0.963333333333333
1637,0.18
1638,0.00333333333333333
1639,0.93
1640,0.03
1641,0
1642,0.176666666666667
1643,0.0433333333333333
1644,0.0333333333333333
1645,0.206666666666667
1646,0.0766666666666667
1647,0.143333333333333
1648,0
1649,0.00333333333333333
1650,0.786666666666667
1651,0.983333333333333
1652,0.753333333333333
1653,0.246666666666667
1654,0.98
1655,0.0233333333333333
1656,0.0233333333333333
1657,0.00666666666666667
1658,0.68
1659,0.0566666666666667
1660,0.00666666666666667
1661,0
1662,0.0266666666666667
1663,0.0433333333333333
1664,0.156666666666667
1665,0.00333333333333333
1666,0.733333333333333
1667,0
1668,0.07
1669,0.246666666666667
1670,0.68
1671,0.91
1672,0.963333333333333
1673,0.0466666666666667
1674,0.41
1675,0.7
1676,0.07
1677,0.00333333333333333
1678,0.92
1679,0.00666666666666667
1680,0.383333333333333
1681,0.0533333333333333
1682,0.11
1683,0.01
1684,0.896666666666667
1685,0.1
1686,0.383333333333333
1687,0
1688,0.183333333333333
1689,0.0533333333333333
1690,0.693333333333333
1691,0.973333333333333
